question,answer
Are leafy greens good for diabetes?,"Yeah, leafy greens like spinach, methi, and broccoli are like superheroes for diabetes - packed with fiber and antioxidants! ?? They're like, totally awesome for keeping your blood sugar in check and overall health on point "
Can I eat eggs with type 2 diabetes?,"Yes, eggs are a good protein source. Choose boiled or poached eggs."
 Is paneer (cottage cheese) good for diabetes?,"Yes, paneer is a good protein source. Choose low-fat paneer and eat in moderation."
Can I drink milk with type 2 diabetes?,Choose low-fat or skim milk and limit portion size (1 cup per day).
Can diabetes cause hair loss?,"Yes, high blood sugar can damage blood vessels and affect hair growth. Manage your sugar levels and consult a doctor."
How do I stay motivated to manage my diabetes?,"Set small goals, track progress, and reward yourself. Connect with a support group or buddy for encouragement."
How does diabetes affect my heart health?,"High blood sugar can damage blood vessels, increasing heart disease risk. Manage BP, cholesterol, and sugars."
What are stroke warning signs?,"Sudden weakness or numbness (especially on one side of the body), sudden confusion or difficulty understanding, trouble seeing in one or both eyes, dizziness or loss of balance, or a severe headache with no known cause.If you notice a drooping face, weakness in an arm, or difficulty speaking, seek emergency medical help immediately because quick treatment can save life and brain function."
Can diabetes cause mini-strokes (TIAs)?,"Yes, TIAs are warning signs. Don't ignore them � take action and consult your doc. You're proactive about your health!"
Why does a person get a sudden stroke?,"Strokes happen when blood flow to the brain is blocked or a blood vessel bursts. Managing BP, sugars, and cholesterol helps reduce risk."
What�s the role of cholesterol in stroke risk?,"High LDL (""bad"") cholesterol can clog arteries. Manage it with diet, exercise, and meds if needed."
